epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.41734,2.16853,5.08851,1.62653,0.46965,0.11984,0.13239,0.0726,1.90151,7.80568,1.37727,0.0001875,0.0001875,0.0001875
2,12.5106,1.67585,2.70137,1.28343,0.46551,0.57338,0.49481,0.29807,1.49903,2.35126,1.20688,0.000381106,0.000381106,0.000381106
3,17.388,1.47772,1.69577,1.21385,0.866,0.46743,0.62065,0.37609,1.52914,1.77758,1.2158,0.000568112,0.000568112,0.000568112
4,22.2159,1.40303,1.5103,1.13927,0.75148,0.5637,0.61426,0.39444,1.50326,1.68277,1.19006,0.000748519,0.000748519,0.000748519
5,27.0742,1.43558,1.45267,1.16678,0.84343,0.58314,0.6887,0.41713,1.44922,1.48837,1.18942,0.000922325,0.000922325,0.000922325
6,31.9185,1.42307,1.42902,1.1274,0.54742,0.69509,0.63126,0.38241,1.47919,2.02663,1.19489,0.00108953,0.00108953,0.00108953
7,36.6313,1.33208,1.16202,1.12425,0.69382,0.52405,0.47922,0.27599,1.50076,3.29039,1.19154,0.00112625,0.00112625,0.00112625
8,41.3455,1.28543,1.06866,1.08993,0.9136,0.70826,0.84136,0.56026,1.23285,1.06924,1.07084,0.00110563,0.00110563,0.00110563
9,46.2987,1.35564,1.06053,1.10158,0.84589,0.71303,0.80527,0.48011,1.43055,1.21322,1.14365,0.001085,0.001085,0.001085
10,51.0912,1.30197,0.92804,1.07316,0.88673,0.74079,0.82828,0.52422,1.29813,1.07224,1.1206,0.00106437,0.00106437,0.00106437
11,56.2182,1.20192,0.86008,1.06953,0.86799,0.70617,0.84397,0.53846,1.28827,1.03919,1.11262,0.00104375,0.00104375,0.00104375
12,60.9855,1.28914,0.89118,1.08654,0.81167,0.84097,0.88075,0.5739,1.20399,1.05619,1.05659,0.00102312,0.00102312,0.00102312
13,65.8861,1.21473,0.85904,1.06271,0.90301,0.8171,0.88575,0.59476,1.25712,1.00252,1.09509,0.0010025,0.0010025,0.0010025
14,70.8319,1.19381,0.78665,1.04935,0.92032,0.83703,0.90807,0.63098,1.2183,0.99072,1.07458,0.000981875,0.000981875,0.000981875
15,75.7417,1.17811,0.77226,1.03592,0.94105,0.80528,0.90649,0.59818,1.30034,0.92407,1.12434,0.00096125,0.00096125,0.00096125
16,80.5657,1.11285,0.73639,1.04136,0.8912,0.80705,0.90191,0.63207,1.23922,0.90723,1.07487,0.000940625,0.000940625,0.000940625
17,85.4383,1.12845,0.70636,1.03169,0.87031,0.80886,0.9094,0.61264,1.23061,0.83183,1.0711,0.00092,0.00092,0.00092
18,90.1916,1.10664,0.69047,1.02486,0.83296,0.8817,0.90339,0.59235,1.30835,0.88748,1.10023,0.000899375,0.000899375,0.000899375
19,94.9393,1.09494,0.69438,0.99697,0.94892,0.83838,0.91562,0.60798,1.27635,0.90844,1.08899,0.00087875,0.00087875,0.00087875
