epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,197.863,0.95371,0.55888,0.94503,0.93357,0.89921,0.94096,0.63402,1.24058,0.75749,1.0702,0.000404375,0.000404375,0.000404375
43,202.504,0.95486,0.54585,0.94202,0.89001,0.92681,0.94857,0.64278,1.24025,0.73996,1.07297,0.00038375,0.00038375,0.00038375
44,207.124,0.95745,0.54743,0.94791,0.94395,0.88337,0.94274,0.63219,1.26113,0.74904,1.08595,0.000363125,0.000363125,0.000363125
45,211.748,0.91988,0.54144,0.95939,0.95996,0.88838,0.94378,0.63607,1.21612,0.7239,1.0761,0.0003425,0.0003425,0.0003425
46,216.208,0.8917,0.51904,0.94513,0.95411,0.90381,0.95172,0.64705,1.20134,0.69661,1.07201,0.000321875,0.000321875,0.000321875
47,220.84,0.92706,0.55137,0.95864,0.96785,0.9031,0.95175,0.65213,1.23868,0.70365,1.07209,0.00030125,0.00030125,0.00030125
48,225.512,0.89509,0.52949,0.94043,0.96625,0.90572,0.95718,0.64229,1.25052,0.69731,1.06935,0.000280625,0.000280625,0.000280625
49,230.23,0.88684,0.54094,0.92779,0.98077,0.89994,0.9662,0.64918,1.22695,0.68188,1.06651,0.00026,0.00026,0.00026
50,234.759,0.89959,0.52454,0.94725,0.95344,0.92184,0.96723,0.64915,1.23175,0.68685,1.07441,0.000239375,0.000239375,0.000239375
51,239.227,0.87753,0.50777,0.92903,0.96497,0.91511,0.96146,0.64693,1.22806,0.68126,1.07384,0.00021875,0.00021875,0.00021875
52,243.771,0.83891,0.48947,0.93045,0.95727,0.90858,0.96272,0.65284,1.21615,0.68817,1.0649,0.000198125,0.000198125,0.000198125
53,248.32,0.84718,0.46429,0.92436,0.96031,0.89111,0.96019,0.658,1.21368,0.70521,1.05958,0.0001775,0.0001775,0.0001775
54,252.885,0.78849,0.46804,0.92842,0.96067,0.87808,0.9575,0.65832,1.20725,0.7169,1.05886,0.000156875,0.000156875,0.000156875
55,257.436,0.79949,0.4561,0.90214,0.95871,0.88168,0.96042,0.66241,1.21013,0.70425,1.0601,0.00013625,0.00013625,0.00013625
56,261.985,0.79029,0.45611,0.90498,0.96698,0.88161,0.96273,0.66654,1.19768,0.67598,1.0557,0.000115625,0.000115625,0.000115625
57,266.539,0.80845,0.45394,0.91477,0.96104,0.89147,0.96557,0.66571,1.1971,0.66282,1.05975,9.5e-05,9.5e-05,9.5e-05
58,270.949,0.78239,0.44246,0.91377,0.96722,0.89459,0.96484,0.66179,1.19554,0.65637,1.05731,7.4375e-05,7.4375e-05,7.4375e-05
59,275.363,0.77136,0.43657,0.90632,0.96656,0.89507,0.96672,0.66372,1.1967,0.65276,1.05302,5.375e-05,5.375e-05,5.375e-05
60,279.836,0.78761,0.46338,0.89428,0.95327,0.9099,0.96836,0.66617,1.19695,0.64997,1.05255,3.3125e-05,3.3125e-05,3.3125e-05
