epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72068,1.98561,5.01349,1.46018,0.3769,0.46518,0.33973,0.21029,1.44115,27.2407,1.17953,0.0002375,0.0002375,0.0002375
2,16.4326,1.54278,2.2586,1.14576,0.77127,0.48349,0.61615,0.37341,1.46613,2.6721,1.15144,0.000479456,0.000479456,0.000479456
3,23.9433,1.44018,1.55549,1.11104,0.88048,0.60682,0.7687,0.48921,1.30386,1.72573,1.13676,0.000713162,0.000713162,0.000713162
4,30.965,1.46063,1.34622,1.18285,0.73067,0.73216,0.80976,0.50059,1.29282,1.18143,1.13762,0.000938619,0.000938619,0.000938619
5,37.9606,1.4431,1.21046,1.20133,0.76043,0.67836,0.82251,0.53794,1.3336,1.28532,1.13531,0.00115583,0.00115583,0.00115583
6,45.056,1.3778,1.09571,1.12521,0.87038,0.77009,0.85962,0.52935,1.32074,1.043,1.13304,0.00114688,0.00114688,0.00114688
7,52.1903,1.30038,0.97402,1.10385,0.81014,0.79993,0.85041,0.53004,1.31985,0.97611,1.14549,0.00112625,0.00112625,0.00112625
8,59.3139,1.3195,0.97876,1.0852,0.75746,0.8013,0.86489,0.52542,1.3214,0.99836,1.14324,0.00110563,0.00110563,0.00110563
9,66.3553,1.29862,0.94819,1.07439,0.78326,0.84843,0.90282,0.55918,1.30628,0.90316,1.13684,0.001085,0.001085,0.001085
10,73.4209,1.28471,0.86962,1.05462,0.87178,0.84676,0.91799,0.56891,1.29022,0.9021,1.12571,0.00106437,0.00106437,0.00106437
11,80.4359,1.30643,0.86943,1.07848,0.89764,0.86583,0.90554,0.56058,1.27159,0.87615,1.10363,0.00104375,0.00104375,0.00104375
12,87.782,1.24038,0.82853,1.05799,0.87824,0.89604,0.93192,0.5959,1.25447,0.82745,1.08722,0.00102312,0.00102312,0.00102312
13,94.9929,1.18496,0.78319,1.02419,0.80304,0.8699,0.92674,0.59486,1.2337,0.91004,1.08264,0.0010025,0.0010025,0.0010025
14,101.911,1.21086,0.79447,1.06085,0.85486,0.91521,0.93755,0.59528,1.25918,0.8266,1.08801,0.000981875,0.000981875,0.000981875
15,108.954,1.20155,0.78203,1.04335,0.89976,0.93512,0.94206,0.61591,1.25298,0.73057,1.08841,0.00096125,0.00096125,0.00096125
16,116.141,1.20212,0.74185,1.03471,0.86321,0.9237,0.94733,0.59101,1.31115,0.76168,1.10285,0.000940625,0.000940625,0.000940625
17,123.127,1.17363,0.68279,1.02513,0.88978,0.95363,0.95002,0.62512,1.19319,0.69702,1.06527,0.00092,0.00092,0.00092
18,130.266,1.2024,0.70927,1.03796,0.92171,0.93483,0.95368,0.64575,1.16783,0.66097,1.05355,0.000899375,0.000899375,0.000899375
19,137.35,1.1412,0.69228,1.0048,0.9168,0.94835,0.95417,0.64163,1.22848,0.67584,1.0751,0.00087875,0.00087875,0.00087875
20,144.361,1.20612,0.70963,1.02264,0.91344,0.94968,0.95547,0.63313,1.22616,0.66366,1.06895,0.000858125,0.000858125,0.000858125
21,151.463,1.12942,0.65927,0.99325,0.93687,0.91571,0.95894,0.62491,1.24312,0.65794,1.07326,0.0008375,0.0008375,0.0008375
