epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,123.312,0.97939,0.58534,0.96145,0.94926,0.90419,0.95005,0.61514,1.23372,0.64069,1.12101,0.000404375,0.000404375,0.000404375
43,126.157,0.96303,0.61449,0.97961,0.93674,0.91657,0.95097,0.64247,1.23724,0.64766,1.12026,0.00038375,0.00038375,0.00038375
44,128.973,0.97922,0.56663,0.95754,0.93943,0.93199,0.95481,0.6592,1.24336,0.65031,1.11789,0.000363125,0.000363125,0.000363125
45,131.827,0.96446,0.58767,0.9644,0.94485,0.92876,0.95764,0.63887,1.26505,0.65408,1.12504,0.0003425,0.0003425,0.0003425
46,134.64,0.94538,0.55388,0.9468,0.94348,0.92961,0.96005,0.61651,1.32402,0.66452,1.15851,0.000321875,0.000321875,0.000321875
47,137.592,0.92656,0.562,0.96581,0.9512,0.93142,0.96051,0.62221,1.29996,0.65977,1.16009,0.00030125,0.00030125,0.00030125
48,140.404,0.96111,0.58359,0.92953,0.95209,0.93055,0.96052,0.63385,1.30863,0.65269,1.16169,0.000280625,0.000280625,0.000280625
49,143.197,0.9143,0.5453,0.9228,0.94986,0.93415,0.96065,0.64027,1.31635,0.65795,1.16584,0.00026,0.00026,0.00026
50,146.046,0.90626,0.53743,0.91775,0.95425,0.93415,0.96148,0.62591,1.32832,0.65371,1.17006,0.000239375,0.000239375,0.000239375
51,148.833,0.90347,0.55616,0.95079,0.96017,0.93612,0.96157,0.63266,1.35347,0.66694,1.18834,0.00021875,0.00021875,0.00021875
52,151.532,0.91235,0.55943,0.96057,0.95479,0.93557,0.96092,0.61817,1.34714,0.65899,1.19612,0.000198125,0.000198125,0.000198125
53,154.236,0.85248,0.53504,0.94702,0.95097,0.93198,0.96025,0.6247,1.33189,0.65513,1.19285,0.0001775,0.0001775,0.0001775
54,156.997,0.8857,0.52319,0.91781,0.93447,0.91749,0.94911,0.62809,1.30189,0.67155,1.19505,0.000156875,0.000156875,0.000156875
55,159.778,0.94195,0.552,0.93255,0.94388,0.92247,0.95817,0.62664,1.29363,0.66507,1.19827,0.00013625,0.00013625,0.00013625
56,162.584,0.85561,0.50179,0.93467,0.93768,0.93057,0.95872,0.62146,1.3007,0.65864,1.19959,0.000115625,0.000115625,0.000115625
57,165.375,0.81432,0.50342,0.92854,0.9334,0.93415,0.9585,0.61924,1.31009,0.65989,1.19701,9.5e-05,9.5e-05,9.5e-05
58,168.144,0.83812,0.47935,0.93732,0.92624,0.93372,0.95943,0.60272,1.33198,0.66897,1.19901,7.4375e-05,7.4375e-05,7.4375e-05
59,170.908,0.84691,0.48533,0.95917,0.92733,0.93415,0.95949,0.60153,1.33889,0.66716,1.19694,5.375e-05,5.375e-05,5.375e-05
60,173.589,0.78467,0.49446,0.93596,0.92873,0.93415,0.95966,0.59908,1.33972,0.66458,1.19723,3.3125e-05,3.3125e-05,3.3125e-05
